"","new","X","datetimeAK","temp.water","ODO.Psat","ODO.Ploc","DO.obs","DO.sat.EXO","discharge","depth","light","solar.time","DO.sat"
"90",3,33809,2021-07-01 05:15:00,6.308,91.8363636363636,93.7363636363636,11.3409090909091,12.3490397941002,267.094097126435,0.646619008389319,74.989,2021-07-01 03:28:57,12.3490397941002
"91",3,33810,2021-07-01 05:30:00,6.246,91.9,93.8,11.37,12.3721436343852,266.737366449806,0.646281488721343,333.25,2021-07-01 03:43:57,12.3721436343852
"92",3,33811,2021-07-01 05:45:00,6.186,92.0181818181818,93.9181818181818,11.4,12.3888559573207,265.055494981532,0.64469019103729,309.225,2021-07-01 03:58:57,12.3888559573207
"93",3,33812,2021-07-01 06:00:00,6.13136363636364,92.1,94,11.4218181818182,12.4015398282499,265.275793942448,0.644898626243498,275.807,2021-07-01 04:13:57,12.4015398282499
"94",3,33813,2021-07-01 06:15:00,6.08045454545455,92.2454545454545,94.1454545454545,11.4563636363636,12.4194343155612,264.835196020644,0.644481755831109,139.5,2021-07-01 04:28:57,12.4194343155612
"95",3,33814,2021-07-01 06:30:00,6.035,92.4,94.3090909090909,11.49,12.4350649350649,262.628859385378,0.642394236990241,119.722,2021-07-01 04:43:57,12.4350649350649
"96",3,33815,2021-07-01 06:45:00,5.99527272727273,92.6090909090909,94.5363636363636,11.53,12.4501816040051,262.877114094668,0.64262912244457,439.425,2021-07-01 04:58:57,12.4501816040051
"97",3,33816,2021-07-01 07:00:00,5.96172727272727,92.8636363636364,94.7818181818182,11.5681818181818,12.4571708272149,261.471453084096,0.641299160463004,276.644,2021-07-01 05:13:57,12.4571708272149
"98",3,33817,2021-07-01 07:15:00,5.93,93.0909090909091,95,11.6018181818182,12.462890625,262.160305715181,0.641950916329713,605.306,2021-07-01 05:28:57,12.462890625
"99",3,33818,2021-07-01 07:30:00,5.901,93.3,95.2,11.64,12.475884244373,263.373623513277,0.643098893353255,420.794,2021-07-01 05:43:57,12.475884244373
"100",3,33819,2021-07-01 07:45:00,5.873,93.5,95.4818181818182,11.6790909090909,12.4910063198833,265.744347612645,0.645341946904026,467.945,2021-07-01 05:58:57,12.4910063198833
"101",3,33820,2021-07-01 08:00:00,5.85,93.7,95.6,11.7,12.4866595517609,265.936690825154,0.645523931862082,629.889,2021-07-01 06:13:57,12.4866595517609
"102",3,33821,2021-07-01 08:15:00,5.83,94,95.9,11.75,12.5,265.716391864252,0.645315496655887,1199.545,2021-07-01 06:28:57,12.5
"103",3,33822,2021-07-01 08:30:00,5.815,94.3727272727273,96.3,11.8,12.5036123687506,267.838861254325,0.647323664752325,1212.72,2021-07-01 06:43:57,12.5036123687506
"104",3,33823,2021-07-01 08:45:00,5.803,94.6636363636364,96.6,11.84,12.5074426198022,270.842526487982,0.650165573673518,1498.912,2021-07-01 06:58:57,12.5074426198022
"105",3,33824,2021-07-01 09:00:00,5.796,95,96.9727272727273,11.8809090909091,12.5062200956938,269.713075935084,0.64909694739441,1500.524,2021-07-01 07:13:57,12.5062200956938
"106",3,33825,2021-07-01 09:15:00,5.802,95.4727272727273,97.4181818181818,11.94,12.5061892972767,275.307764229011,0.654390345072569,1398.751,2021-07-01 07:28:57,12.5061892972767
"107",3,33826,2021-07-01 09:30:00,5.811,95.9,97.8818181818182,11.99,12.5026068821689,275.9966168601,0.655042100939282,137.175,2021-07-01 07:43:57,12.5026068821689
"108",3,33827,2021-07-01 09:45:00,5.826,96.4,98.4,12.05,12.5,275.720406402407,0.654780765236805,612.715,2021-07-01 07:58:57,12.5
"109",3,33828,2021-07-01 10:00:00,5.851,96.9,98.9,12.1063636363636,12.4936673233886,276.188960072604,0.655224085897334,1024.519,2021-07-01 08:13:57,12.4936673233886
"110",3,33829,2021-07-01 10:15:00,5.882,97.3727272727273,99.3818181818182,12.15,12.4778265334703,277.842875792475,0.656788933333238,1547.892,2021-07-01 08:28:57,12.4778265334703
"111",3,33830,2021-07-01 10:30:00,5.91681818181818,97.9,99.9,12.2081818181818,12.4700529297056,278.09113050178,0.657023818787581,1538.933,2021-07-01 08:43:57,12.4700529297056
"112",3,33831,2021-07-01 10:45:00,5.963,98.4545454545455,100.490909090909,12.2636363636364,12.4561403508772,279.220581054654,0.658092445066666,1361.303,2021-07-01 08:58:57,12.4561403508772
"113",3,33832,2021-07-01 11:00:00,6.02,98.9818181818182,101,12.31,12.4366274797943,278.944370596956,0.657831109364184,1521.945,2021-07-01 09:13:57,12.4366274797943
"114",3,33833,2021-07-01 11:15:00,6.081,99.5090909090909,101.6,12.36,12.4209756988854,280.598286316832,0.659395956800093,1503.221,2021-07-01 09:28:57,12.4209756988854
"115",3,33834,2021-07-01 11:30:00,6.162,100.2,102.227272727273,12.4127272727273,12.3879513699873,281.094795735417,0.659865727708755,1483.195,2021-07-01 09:43:57,12.3879513699873
"116",3,33835,2021-07-01 11:45:00,6.25718181818182,100.936363636364,103,12.4763636363636,12.3606232549761,280.12973264664,0.658952636139569,1446.026,2021-07-01 09:58:57,12.3606232549761
"117",3,33836,2021-07-01 12:00:00,6.36463636363636,101.663636363636,103.763636363636,12.5354545454545,12.3303228114102,281.755692618118,0.660491033327334,1337.743,2021-07-01 10:13:57,12.3303228114102
"118",3,33837,2021-07-01 12:15:00,6.46436363636364,102.4,104.5,12.59,12.294921875,282.500456746003,0.661195689690335,1342.238,2021-07-01 10:28:57,12.294921875
"119",3,33838,2021-07-01 12:30:00,6.58809090909091,103.090909090909,105.236363636364,12.6436363636364,12.2645502645503,282.472500997605,0.661169239442192,1321.313,2021-07-01 10:43:57,12.2645502645503
"120",3,33839,2021-07-01 12:45:00,6.71309090909091,103.736363636364,105.863636363636,12.6809090909091,12.2241696608535,283.657863047289,0.662290766217577,1144.21,2021-07-01 10:58:57,12.2241696608535
"121",3,33840,2021-07-01 13:00:00,6.85290909090909,104.418181818182,106.6,12.72,12.1817865227233,282.556368242794,0.661248590186618,892.738,2021-07-01 11:13:57,12.1817865227233
"122",3,33841,2021-07-01 13:15:00,6.99527272727273,105.2,107.381818181818,12.7690909090909,12.1379191151054,280.405943104328,0.659213971842042,511.438,2021-07-01 11:28:57,12.1379191151054
"123",3,33842,2021-07-01 13:30:00,7.14754545454545,105.927272727273,108.1,12.81,12.0932028836251,280.682153562021,0.659475307544519,305.226,2021-07-01 11:43:57,12.0932028836251
"124",3,33843,2021-07-01 13:45:00,7.29509090909091,106.5,108.7,12.8309090909091,12.0478019632949,282.47250099761,0.661169239442196,264.027,2021-07-01 11:58:57,12.0478019632949
"125",3,33844,2021-07-01 14:00:00,7.45054545454545,107.1,109.3,12.8509090909091,11.9989814107461,284.126416717481,0.662734086878101,184.233,2021-07-01 12:13:57,11.9989814107461
"126",3,33845,2021-07-01 14:15:00,7.59336363636364,107.636363636364,109.845454545455,12.8718181818182,11.9586148648648,284.871180845366,0.663438743241102,153.729,2021-07-01 12:28:57,11.9586148648648
"127",3,33846,2021-07-01 14:30:00,7.72754545454545,108.063636363636,110.3,12.8845454545455,11.9231092790444,285.615944973251,0.664143399604103,140.864,2021-07-01 12:43:57,11.9231092790444
"128",3,33847,2021-07-01 14:45:00,7.86,108.336363636364,110.563636363636,12.8681818181818,11.8779894268691,286.469185068442,0.66495069018072,149.885,2021-07-01 12:58:57,11.8779894268691
"129",3,33848,2021-07-01 15:00:00,7.97854545454545,108.445454545455,110.681818181818,12.8463636363636,11.8459217034118,288.619610206903,0.666985308525291,122.543,2021-07-01 13:13:57,11.8459217034118
"130",3,33849,2021-07-01 15:15:00,8.09981818181818,108.618181818182,110.9,12.8309090909091,11.8128557080683,290.742079596967,0.66899347662172,107.012,2021-07-01 13:28:57,11.8128557080683
"131",3,33850,2021-07-01 15:30:00,8.20563636363636,108.854545454545,111.1,12.8245454545455,11.7813596124938,290.770035345369,0.669019926869867,100.161,2021-07-01 13:43:57,11.7813596124938
"132",3,33851,2021-07-01 15:45:00,8.30027272727273,108.818181818182,111.090909090909,12.7909090909091,11.7543859649123,288.867864916198,0.667220193979625,75.268,2021-07-01 13:58:57,11.7543859649123
"133",3,33852,2021-07-01 16:00:00,8.37554545454545,108.681818181818,110.9,12.75,11.7314930991217,289.640584792481,0.667951300590769,68.913,2021-07-01 14:13:57,11.7314930991217
"134",3,33853,2021-07-01 16:15:00,8.447,108.4,110.6,12.69,11.7066420664207,288.951732161392,0.667299544724056,64.604,2021-07-01 14:28:57,11.7066420664207
"135",3,33854,2021-07-01 16:30:00,8.51581818181818,108.072727272727,110.327272727273,12.6372727272727,11.6933041722746,288.647565955301,0.667011758773435,54.653,2021-07-01 14:43:57,11.6933041722746
"136",3,33855,2021-07-01 16:45:00,8.555,107.681818181818,109.9,12.5790909090909,11.6817222456733,289.83292800498,0.668133285548816,50.406,2021-07-01 14:58:57,11.6817222456733
"137",3,33856,2021-07-01 17:00:00,8.58527272727273,107.127272727273,109.336363636364,12.5045454545455,11.6726069246436,289.777016508185,0.668080385052529,47.461,2021-07-01 15:13:57,11.6726069246436
"138",3,33857,2021-07-01 17:15:00,8.618,106.618181818182,108.818181818182,12.4345454545455,11.6626875852661,291.458887976468,0.66967168273659,44.888,2021-07-01 15:28:57,11.6626875852661
"139",3,33858,2021-07-01 17:30:00,8.63581818181818,105.9,108.081818181818,12.3436363636364,11.6559361318568,290.878511312684,0.669122561083492,40.207,2021-07-01 15:43:57,11.6559361318568
"140",3,33859,2021-07-01 17:45:00,8.635,105.145454545455,107.309090909091,12.26,11.6600380425384,289.060208128697,0.667402178937671,36.704,2021-07-01 15:58:57,11.6600380425384
"141",3,33860,2021-07-01 18:00:00,8.63645454545455,104.418181818182,106.6,12.1745454545455,11.6594114574265,289.280507089595,0.667610614143861,32.86,2021-07-01 16:13:57,11.6594114574265
"142",3,33861,2021-07-01 18:15:00,8.637,103.636363636364,105.8,12.0836363636364,11.659649122807,291.843574401462,0.670035652652679,28.737,2021-07-01 16:28:57,11.659649122807
"143",3,33862,2021-07-01 18:30:00,8.621,102.9,105.027272727273,12.0018181818182,11.6635745207174,291.539408195376,0.669747866702063,24.986,2021-07-01 16:43:57,11.6635745207174
