"","new","X","datetimeAK","temp.water","ODO.Psat","ODO.Ploc","DO.obs","discharge","depth","light","air.pressure.mbar","DO.sat.EXO","solar.time"
"3895",7,6121,2019-07-11 05:15:00,12.3136363636364,84.1,84.8,9,421.048410297402,0.34846639327952,221.474285360127,987.03,10.7015457788347,2019-07-11 03:28:57
"3896",7,6122,2019-07-11 05:30:00,12.281,84.1,84.8,9,417.352356505731,0.347491696703162,269.404537077765,987.09,10.7015457788347,2019-07-11 03:43:57
"3897",7,6123,2019-07-11 05:45:00,12.245,84.1,84.8,9.01,417.352356505731,0.347491696703162,319.605847070279,987.16,10.7134363852556,2019-07-11 03:58:57
"3898",7,6124,2019-07-11 06:00:00,12.2093636363636,84.2,84.8,9.02,422.896437193238,0.348953741567699,371.863287504334,986.9,10.7125890736342,2019-07-11 04:13:57
"3899",7,6125,2019-07-11 06:15:00,12.1800909090909,84.2,84.9,9.04,421.048410297402,0.34846639327952,425.953127515277,987.16,10.7363420427553,2019-07-11 04:28:57
"3900",7,6126,2019-07-11 06:30:00,12.18,84.6,85.3,9.07636363636364,424.744464089073,0.349441089855877,481.643791081584,987.16,10.7285622179239,2019-07-11 04:43:57
"3901",7,6127,2019-07-11 06:45:00,12.148,84.4,85.1,9.06636363636364,422.896437193238,0.348953741567699,538.696848474772,987.16,10.7421370099095,2019-07-11 04:58:57
"3902",7,6128,2019-07-11 07:00:00,12.101,84.2363636363636,84.9,9.05363636363636,422.896437193238,0.348953741567699,596.868037037807,987.27,10.7478955320527,2019-07-11 05:13:57
"3903",7,6129,2019-07-11 07:15:00,12.061,84.4,85.0818181818182,9.08,424.744464089073,0.349441089855877,655.908307013088,987.05,10.7582938388626,2019-07-11 05:28:57
"3904",7,6130,2019-07-11 07:30:00,12.032,84.7,85.4,9.12,421.048410297402,0.34846639327952,715.564887712463,987.09,10.767414403778,2019-07-11 05:43:57
"3905",7,6131,2019-07-11 07:45:00,12.0085454545455,85.2,85.8181818181818,9.17,421.048410297402,0.34846639327952,775.582369771754,987.18,10.7629107981221,2019-07-11 05:58:57
"3906",7,6132,2019-07-11 08:00:00,11.984,85.7,86.4,9.23,419.200383401566,0.347979044991341,835.703798626075,987.22,10.7701283547258,2019-07-11 06:13:57
"3907",7,6133,2019-07-11 08:15:00,11.9629090909091,86.3,87,9.3,417.352356505731,0.347491696703162,895.671774633062,987.24,10.7763615295481,2019-07-11 06:28:57
"3908",7,6134,2019-07-11 08:30:00,11.9468181818182,86.9636363636364,87.6909090909091,9.38,419.200383401566,0.347979044991341,955.22955503677,987.32,10.7861174994773,2019-07-11 06:43:57
"3909",7,6135,2019-07-11 08:45:00,11.931,87.7,88.4,9.46,417.352356505731,0.347491696703162,1014.1221532175,987.34,10.7867730900798,2019-07-11 06:58:57
"3910",7,6136,2019-07-11 09:00:00,11.9180909090909,88.5,89.2,9.55,411.808275818224,0.346029651838626,1072.09743038842,987.61,10.7909604519774,2019-07-11 07:13:57
