"","X","datetimeAK","DO.obs","ODO.Psat","localDissolvedOxygenSat","temp.water","discharge","depth","turbidity","fDOM","solar.time","DO.sat.EXO","light"
"9201",10445,2019-08-23 11:00:00,12.597,93.66,NA,2.871,550.446666666667,0.363333333333333,0.665666666666667,NA,2019-08-23 09:11:40,13.4497117232543,1133.13295641683
"9202",10446,2019-08-23 11:15:00,12.566,93.6446666666667,NA,2.956,561.540666666667,0.366666666666667,0.634666666666667,NA,2019-08-23 09:26:40,13.4188101119836,1174.06864493104
"9203",10447,2019-08-23 11:30:00,12.5423333333333,93.6913333333333,NA,3.044,550.106,0.364666666666667,0.664,NA,2019-08-23 09:41:40,13.3868660922035,1211.81596502136
"9204",10448,2019-08-23 11:45:00,12.5226666666667,93.8196666666667,NA,3.15416666666667,541.834666666667,0.362,0.639666666666667,NA,2019-08-23 09:56:40,13.3475923669167,1246.21321616342
"9205",10449,2019-08-23 12:00:00,12.4996666666667,93.9913333333333,NA,3.2995,554.494666666667,0.366,0.646333333333333,NA,2019-08-23 10:11:40,13.2987438558165,1277.11304861607
"9206",10450,2019-08-23 12:15:00,12.46,94.0626666666667,NA,3.44366666666667,561.534666666667,0.368666666666667,0.614,NA,2019-08-23 10:26:40,13.2464881568316,1304.38309467321
"9207",10451,2019-08-23 12:30:00,12.407,94.0013333333333,NA,3.579,554.358,0.365333333333333,0.614666666666667,NA,2019-08-23 10:41:40,13.1987489539155,1327.90653566681
"9208",10452,2019-08-23 12:45:00,12.3496666666667,93.839,NA,3.685,554.098,0.366666666666667,0.606,NA,2019-08-23 10:56:40,13.1604840915469,1347.58260241958
"9209",10453,2019-08-23 13:00:00,12.3073333333333,93.7873333333333,NA,3.79316666666667,554.413333333333,0.366,0.67,NA,2019-08-23 11:11:40,13.1225965126776,1363.32700691273
"9210",10454,2019-08-23 13:15:00,12.2753333333333,93.695,NA,3.84916666666667,561.51,0.368666666666667,1.37466666666667,NA,2019-08-23 11:26:40,13.1013750289058,1375.07230336412
"9211",10455,2019-08-23 13:30:00,12.248,93.4983333333333,NA,3.86083333333333,563.307333333333,0.368,0.722,NA,2019-08-23 11:41:40,13.0996987468582,1382.76817714466
"9212",10456,2019-08-23 13:45:00,12.2356666666667,93.499,NA,3.89583333333333,555.906666666667,0.365333333333333,0.702333333333333,NA,2019-08-23 11:56:40,13.086414471456,1386.38166033944
