"","new","X","datetimeAK","temp.water","ODO.Psat","ODO.Ploc","DO.obs","discharge","Site","depth","light","DO.sat.EXO","solar.time","ODO.mgL.Calc"
"11941",5596,42554,2021-07-30 21:20:00,8.14766666666667,95.6348888049601,NA,11.0471526094181,546.276731181075,"POKE",0.398944112316445,0.00109030049054755,11.5510694597172,2021-07-30 19:33:57,NA
"11942",5596,42555,2021-07-30 21:25:00,8.12833333333333,95.5689093946574,NA,11.0444636104826,544.354295333353,"POKE",0.398728132695904,0.00069583819933439,11.5556394419005,2021-07-30 19:38:57,NA
"11943",5597,42556,2021-07-30 21:30:00,8.109,95.5,95.8272727272727,11.04,544.362305737741,"POKE",0.39850883567038,0,11.5602094240838,2021-07-30 19:43:57,11.2815376267135
"11944",5598,42557,2021-07-30 21:35:00,8.08860606060606,95.4677927774744,NA,11.0438317407437,545.31551325717,"POKE",0.398299225950736,0.000221811285668313,11.5677426908287,2021-07-30 19:48:57,NA
"11945",5598,42558,2021-07-30 21:40:00,8.06821212121212,95.4328437801824,NA,11.0457371155969,539.580247331731,"POKE",0.398086298826108,0.000142246663215395,11.5752759575737,2021-07-30 19:53:57,NA
"11946",5599,42559,2021-07-30 21:45:00,8.04781818181818,95.4,95.7,11.05,540.541465255636,"POKE",0.397608692038243,0,11.5828092243187,2021-07-30 19:58:57,11.2865740631356
"11947",5600,42560,2021-07-30 21:50:00,8.02248484848485,95.3320397498266,NA,11.0455577015388,538.627039812302,"POKE",0.39790398842939,4.86117991719431e-05,11.5874190346998,2021-07-30 20:03:57,NA
"11948",5600,42561,2021-07-30 21:55:00,7.99715151515151,95.2663531077258,NA,11.0433661201448,543.409098218341,"POKE",0.397934605157301,3.45415575814089e-05,11.592028845081,2021-07-30 20:08:57,NA
"11949",5601,42562,2021-07-30 22:00:00,7.97181818181818,95.2,95.5,11.04,540.533454851131,"POKE",0.397737129793756,0,11.5966386554622,2021-07-30 20:13:57,11.2838603525182
"11950",5602,42563,2021-07-30 22:05:00,7.94736363636364,95.1456059224736,NA,11.0412723475163,541.502683179482,"POKE",0.398205716569014,2.77908720194242e-05,11.6042510365539,2021-07-30 20:18:57,NA
"11951",5602,42564,2021-07-30 22:10:00,7.92290909090909,95.0909346265388,NA,11.0415383231976,541.494672775065,"POKE",0.398446211252817,3.51104280479738e-05,11.6118634176456,2021-07-30 20:23:57,NA
