Site Name ,FRCH,,,
Site Number ,3,,,
Logger ,Integrating Light Sensor,,,
Logger Serial Number ,11615,,,
,,,,
,,,,
Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,
,,,,
319,14/06/2020 , 20:45:00,6989,6989
320,14/06/2020 , 21:00:00,2973,2973
321,14/06/2020 , 21:15:00,2472,2472
322,14/06/2020 , 21:30:00,2217,2217
323,14/06/2020 , 21:45:00,2055,2055
324,14/06/2020 , 22:00:00,1957,1957
325,14/06/2020 , 22:15:00,1863,1863
326,14/06/2020 , 22:30:00,1779,1779
327,14/06/2020 , 22:45:00,1626,1626
328,14/06/2020 , 23:00:00,1744,1744
329,14/06/2020 , 23:15:00,1748,1748
330,14/06/2020 , 23:30:00,1221,1221
331,14/06/2020 , 23:45:00,753,753
332,14/06/2020 , 24:00:00,523,523
333,15/06/2020 , 00:15:00,321,321
334,15/06/2020 , 00:30:00,242,242
335,15/06/2020 , 00:45:00,218,218
336,15/06/2020 , 01:00:00,185,185
337,15/06/2020 , 01:15:00,123,123
338,15/06/2020 , 01:30:00,93,93
339,15/06/2020 , 01:45:00,79,79
340,15/06/2020 , 02:00:00,86,86
341,15/06/2020 , 02:15:00,101,101
342,15/06/2020 , 02:30:00,132,132
343,15/06/2020 , 02:45:00,173,173
344,15/06/2020 , 03:00:00,207,207
345,15/06/2020 , 03:15:00,239,239
346,15/06/2020 , 03:30:00,224,224
347,15/06/2020 , 03:45:00,242,242
348,15/06/2020 , 04:00:00,229,229
349,15/06/2020 , 04:15:00,298,298
350,15/06/2020 , 04:30:00,410,410
351,15/06/2020 , 04:45:00,530,530
352,15/06/2020 , 05:00:00,670,670
353,15/06/2020 , 05:15:00,785,785
354,15/06/2020 , 05:30:00,1011,1011
355,15/06/2020 , 05:45:00,1897,1897
356,15/06/2020 , 06:00:00,1448,1448
357,15/06/2020 , 06:15:00,1814,1814
358,15/06/2020 , 06:30:00,1754,1754
359,15/06/2020 , 06:45:00,2296,2296
360,15/06/2020 , 07:00:00,3829,3829
361,15/06/2020 , 07:15:00,5479,5479
362,15/06/2020 , 07:30:00,5477,5477
363,15/06/2020 , 07:45:00,5468,5468
364,15/06/2020 , 08:00:00,5912,5912
365,15/06/2020 , 08:15:00,8065,8065
366,15/06/2020 , 08:30:00,9701,9701
367,15/06/2020 , 08:45:00,12974,12974
368,15/06/2020 , 09:00:00,13519,13519
369,15/06/2020 , 09:15:00,12632,12632
370,15/06/2020 , 09:30:00,16550,16550
371,15/06/2020 , 09:45:00,10313,10313
372,15/06/2020 , 10:00:00,16790,16790
373,15/06/2020 , 10:15:00,10923,10923
374,15/06/2020 , 10:30:00,12432,12432
375,15/06/2020 , 10:45:00,15784,15784
376,15/06/2020 , 11:00:00,16757,16757
377,15/06/2020 , 11:15:00,27849,27849
378,15/06/2020 , 11:30:00,27814,27814
379,15/06/2020 , 11:45:00,46049,46049
