"Plot Title: 20005933_FRCH_atmo"
"#","Date Time, GMT-08:00","Abs Pres, kPa (LGR S/N: 20005933, SEN S/N: 20005933, LBL: P)","Temp, °C (LGR S/N: 20005933, SEN S/N: 20005933, LBL: T)"
333,06/14/20 11:45:00 PM,98.569,13.173
334,06/15/20 12:00:00 AM,98.583,12.497
335,06/15/20 12:15:00 AM,98.596,11.819
336,06/15/20 12:30:00 AM,98.577,11.041
337,06/15/20 12:45:00 AM,98.580,10.357
338,06/15/20 01:00:00 AM,98.597,9.768
339,06/15/20 01:15:00 AM,98.613,9.176
340,06/15/20 01:30:00 AM,98.604,8.680
341,06/15/20 01:45:00 AM,98.621,8.082
342,06/15/20 02:00:00 AM,98.627,7.481
343,06/15/20 02:15:00 AM,98.647,6.978
344,06/15/20 02:30:00 AM,98.666,6.471
345,06/15/20 02:45:00 AM,98.680,6.064
346,06/15/20 03:00:00 AM,98.682,5.860
347,06/15/20 03:15:00 AM,98.686,5.962
348,06/15/20 03:30:00 AM,98.674,6.166
349,06/15/20 03:45:00 AM,98.670,6.573
350,06/15/20 04:00:00 AM,98.677,7.280
351,06/15/20 04:15:00 AM,98.690,7.882
352,06/15/20 04:30:00 AM,98.691,8.182
353,06/15/20 04:45:00 AM,98.699,8.382
354,06/15/20 05:00:00 AM,98.706,8.581
355,06/15/20 05:15:00 AM,98.723,8.779
356,06/15/20 05:30:00 AM,98.711,8.978
357,06/15/20 05:45:00 AM,98.722,9.275
358,06/15/20 06:00:00 AM,98.704,9.571
359,06/15/20 06:15:00 AM,98.734,9.866
360,06/15/20 06:30:00 AM,98.723,10.063
361,06/15/20 06:45:00 AM,98.743,10.357
362,06/15/20 07:00:00 AM,98.742,10.846
363,06/15/20 07:15:00 AM,98.752,11.625
364,06/15/20 07:30:00 AM,98.748,12.304
365,06/15/20 07:45:00 AM,98.747,12.787
366,06/15/20 08:00:00 AM,98.749,13.365
367,06/15/20 08:15:00 AM,98.751,13.942
368,06/15/20 08:30:00 AM,98.747,14.613
369,06/15/20 08:45:00 AM,98.745,16.618
370,06/15/20 09:00:00 AM,98.757,17.189
371,06/15/20 09:15:00 AM,98.743,17.855
372,06/15/20 09:30:00 AM,98.758,18.521
373,06/15/20 09:45:00 AM,98.733,18.616
374,06/15/20 10:00:00 AM,98.725,21.760
375,06/15/20 10:15:00 AM,98.729,22.908
376,06/15/20 10:30:00 AM,98.726,20.996
377,06/15/20 10:45:00 AM,98.728,20.805
378,06/15/20 11:00:00 AM,98.721,20.615
379,06/15/20 11:15:00 AM,98.720,21.378
380,06/15/20 11:30:00 AM,98.680,24.931
381,06/15/20 11:45:00 AM,98.705,25.610
382,06/15/20 12:00:00 PM,98.716,27.961
383,06/15/20 12:15:00 PM,98.672,26.000
384,06/15/20 12:30:00 PM,98.647,24.835
385,06/15/20 12:45:00 PM,98.622,24.158
386,06/15/20 01:00:00 PM,98.624,22.908
387,06/15/20 01:15:00 PM,98.629,22.525
388,06/15/20 01:30:00 PM,98.618,23.004
389,06/15/20 01:45:00 PM,98.608,23.773
390,06/15/20 02:00:00 PM,98.603,24.158
391,06/15/20 02:15:00 PM,98.567,24.738
392,06/15/20 02:30:00 PM,98.541,24.835
393,06/15/20 02:45:00 PM,98.553,24.641
394,06/15/20 03:00:00 PM,98.513,24.835
395,06/15/20 03:15:00 PM,98.517,24.448
396,06/15/20 03:30:00 PM,98.511,25.319
397,06/15/20 03:45:00 PM,98.494,26.390
398,06/15/20 04:00:00 PM,98.519,27.075
399,06/15/20 04:15:00 PM,98.491,25.805
400,06/15/20 04:30:00 PM,98.463,24.545
401,06/15/20 04:45:00 PM,98.469,22.621
402,06/15/20 05:00:00 PM,98.461,22.142
403,06/15/20 05:15:00 PM,98.453,20.901
404,06/15/20 05:30:00 PM,98.484,18.901
405,06/15/20 05:45:00 PM,98.485,18.140
406,06/15/20 06:00:00 PM,98.516,16.141
407,06/15/20 06:15:00 PM,98.521,15.760
408,06/15/20 06:30:00 PM,98.538,15.951
409,06/15/20 06:45:00 PM,98.542,16.046
410,06/15/20 07:00:00 PM,98.529,16.237
411,06/15/20 07:15:00 PM,98.530,16.523
412,06/15/20 07:30:00 PM,98.516,16.903
413,06/15/20 07:45:00 PM,98.482,17.284
414,06/15/20 08:00:00 PM,98.488,17.189
415,06/15/20 08:15:00 PM,98.492,17.284
416,06/15/20 08:30:00 PM,98.482,17.284
417,06/15/20 08:45:00 PM,98.475,17.094
418,06/15/20 09:00:00 PM,98.449,16.903
419,06/15/20 09:15:00 PM,98.435,16.808
420,06/15/20 09:30:00 PM,98.448,16.618
421,06/15/20 09:45:00 PM,98.434,16.523
422,06/15/20 10:00:00 PM,98.431,16.427
