Date,Total width (cm):,Time,Distance (cm),Depth (cm),Velocity (m/s),Velocity 1/2 depth,Velocity 2X depth,Mean Vel (m/s)
221011,200,14:00,110,27,0.06,,,0.06
221011,,,120,25,0.02,,,0.02
221011,,,130,26,0.08,,,0.08
221011,,,140,29,0.18,,,0.18
221011,,,150,30,0.39,,,0.39
221011,,,160,32,0.38,,,0.38
221011,,,170,33,0.33,,,0.33
221011,,,180,30,0.35,,,0.35
221011,,,190,30,0.36,,,0.36
221011,,,200,30,0.33,,,0.33
221011,,,210,30,0.35,,,0.35
221011,,,220,30,0.35,,,0.35
221011,,,230,30,0.33,,,0.33
221011,,,240,29,0.33,,,0.33
221011,,,250,30,0.34,,,0.34
221011,,,260,30,0.33,,,0.33
221011,,,270,29,0.33,,,0.33
221011,,,280,29,0.34,,,0.34
221011,,,290,31,0.33,,,0.33
221011,,,300,34,0.33,,,0.33
221011,,,310,30,0.24,,,0.24
